#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:m_cytB_mafft_nexus" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:m_cytB_mafft_nexus" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:m_cytB_mafft_nexus" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.m_cytB_mafft_nexus" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:m_cytB_mafft_nexus" name="distribution" x="@birthRate.t:m_cytB_mafft_nexus">
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@m_cytB_mafft_nexus" id="treeLikelihood.m_cytB_mafft_nexus" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:m_cytB_mafft_nexus">
#            <siteModel id="SiteModel.s:m_cytB_mafft_nexus" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:m_cytB_mafft_nexus" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:m_cytB_mafft_nexus" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:m_cytB_mafft_nexus" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:m_cytB_mafft_nexus" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:m_cytB_mafft_nexus" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:m_cytB_mafft_nexus" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
83000	-9964.219341503853	-9955.708795283295	-8.510546220557494	-9955.708795283295	1.4409654113464996	-0.7269736179977837	2.382074767520962
84000	-9964.45664921276	-9954.710553697163	-9.74609551559716	-9954.710553697163	1.7195786294383726	-2.1611533829430423	1.9534004281757418
85000	-9963.59536256111	-9953.021181184657	-10.574181376452668	-9953.021181184657	1.9101922312760113	-2.7988053081523097	2.3626563494230326
86000	-9963.153188748744	-9953.021638332339	-10.131550416405652	-9953.021638332339	1.8197568272548097	-2.442267895809038	2.1679926405301635
87000	-9965.489443084522	-9956.041262747076	-9.448180337445272	-9956.041262747076	1.3953234764738955	-1.2382172464091443	3.645612400048432
88000	-9967.379685702655	-9956.14671330314	-11.232972399515573	-9956.14671330314	1.6051522565285261	-2.977921661210287	3.8132784644486524
89000	-9965.761796840397	-9957.371044805053	-8.390752035344851	-9957.371044805053	1.3155657460395511	-0.927149952580733	1.730366799227249
90000	-9965.9271171984	-9956.908707895762	-9.018409302638796	-9956.908707895762	1.4586225882241695	-0.8862063164881473	3.373526975303583
91000	-9963.830697598303	-9954.512090850616	-9.318606747687474	-9954.512090850616	1.6373908936954522	-1.7944052991028254	1.8383810353221368
92000	-9968.882234867786	-9959.146382718778	-9.735852149007297	-9959.146382718778	1.2670898718847232	-1.2934113297119865	4.596444258900984
93000	-9961.558472424033	-9951.38080804046	-10.177664383573653	-9951.38080804046	1.650623694308109	-2.9250720020987675	1.401358081390871
94000	-9967.01447448322	-9957.365469248894	-9.649005234324438	-9957.365469248894	1.7044523354111534	-2.122033340413819	1.8434769398867403
95000	-9963.186266733894	-9955.104153865464	-8.082112868430093	-9955.104153865464	1.1854400942503185	0.20413639954461082	3.933770792198052
96000	-9968.828659332916	-9960.440864500317	-8.387794832599786	-9960.440864500317	1.3876212006675244	-0.3951080830009879	2.935100662667654
97000	-9964.247240960703	-9954.356678225462	-9.89056273524162	-9954.356678225462	1.7047921240028738	-2.077835872830656	2.4524434721983033
98000	-9963.94586817441	-9953.822389561888	-10.123478612522547	-9953.822389561888	1.8396873338287913	-2.560450241378378	1.9110986958329281
99000	-9960.368167800189	-9952.005431043093	-8.362736757094977	-9952.005431043093	1.4306995278750436	-0.683376718623057	2.1466117669497957
100000	-9961.450942541229	-9953.859123972397	-7.591818568831919	-9953.859123972397	1.277596618564996	0.35560163753874985	2.805438030432233
101000	-9962.377608858313	-9953.165611259934	-9.211997598377906	-9953.165611259934	1.356603645423875	-0.9281997083131888	3.9241675363960056
102000	-9960.615198369891	-9951.726464787138	-8.888733582753165	-9951.726464787138	1.4040006511180834	-0.7986470995507258	3.2347093299638723
103000	-9960.846967614927	-9952.16826648996	-8.678701124967453	-9952.16826648996	1.3922099917925	-0.5764623694647426	3.2741687174422447
104000	-9964.070713903853	-9955.23737701152	-8.83333689233485	-9955.23737701152	1.4296461729114476	-0.8167953050774042	3.0058178032617295
105000	-9963.941134158058	-9956.077133711491	-7.864000446566838	-9956.077133711491	1.2846007142364806	-0.19345206246495472	2.127800956263685
106000	-9962.910367840968	-9954.063834947692	-8.846532893276041	-9954.063834947692	1.5057243464688226	-0.956099635468374	2.6502951019800016
107000	-9964.034126033614	-9956.263705582427	-7.770420451186517	-9956.263705582427	1.2987815867484558	0.22603772370941932	2.9461695545695576
